NUMERO;DURATA;CLASSE;AULA;GIORNO;O.INIZIO
1;1h00;1B;AULA 03;lunedì;08h00
2;1h00;1C;AULA 04;lunedì;08h00
3;1h00;1D;AULA 10A;lunedì;08h00
4;1h00;1E;AULA 11;lunedì;08h00
5;1h00;1A;AULA 02;lunedì;08h00
6;1h00;1AS;AULA 30;lunedì;08h00
7;1h00;1LS;AULA 31;lunedì;08h00
8;1h00;2AS;AULA 24;lunedì;08h00
9;1h00;2BS;LAB. MECCANICA;lunedì;08h00
10;1h00;2BS;LAB. MECCANICA;lunedì;08h55
11;1h00;2A;AULA 05;lunedì;08h00
12;1h00;2A;AULA 05;lunedì;08h55
13;1h00;2B;AULA 06;lunedì;08h00
14;1h00;2C;AULA 07;lunedì;08h00
15;1h00;2E;AULA 09;lunedì;08h00
16;1h00;2F;AULA 09A;lunedì;08h00
17;1h00;3AU;AULA 21;lunedì;08h00
18;1h00;3BM;LAB. SISTEMI-AUTOMAZ;lunedì;08h00
19;1h00;3BS;AULA 25;lunedì;08h00
20;1h00;3BS;AULA 25;lunedì;08h55
21;1h00;4IA;AULA 18;lunedì;08h00
22;1h00;4IB;AULA DISEGNO 1;lunedì;08h00
23;1h00;4AM;AULA 20;lunedì;08h00
24;1h00;4BM;AULA 13;lunedì;08h00
25;1h00;4AS;AULA 19;lunedì;08h00
26;1h00;4BS;LAB. FISICA;lunedì;08h00
27;1h00;4CS;AULA 28;lunedì;08h00
28;1h00;4CS;AULA 28;lunedì;08h55
29;1h00;4LS;AULA 22;lunedì;08h00
30;1h00;5IA;BIBLIOTECA;lunedì;08h00
31;1h00;5IB;AULA 01;lunedì;08h00
32;1h00;5IB;AULA 01;lunedì;08h55
33;1h00;5AS;AULA 17;lunedì;08h00
34;1h00;5BS;AULA 27;lunedì;08h00
35;1h00;5CS;AULA DISEGNO 2;lunedì;08h00
36;1h00;3AM;AULA 26;lunedì;08h00
37;1h00;5AM;LAB. TECNOLOGIA;lunedì;08h00
38;1h00;5AM;LAB. TECNOLOGIA;lunedì;08h55
39;1h00;5BM;LAB. CAD1;lunedì;08h00
40;1h00;2D;LAB. CAD2;lunedì;08h00
41;1h00;5AU;AULA 16;lunedì;08h00
42;1h00;5AU;AULA 16;lunedì;08h55
43;1h00;4AU;LAB. ROBOTICA;lunedì;08h00
44;1h00;4AU;LAB. ROBOTICA;lunedì;08h55
45;1h00;3LS;AULA 23;lunedì;08h00
46;1h00;4AT;AULA 29;lunedì;08h00
47;1h00;4IC;AULA 14;lunedì;08h00
48;1h00;3IB;LAB. ELETTRONICA2;lunedì;08h00
49;1h00;3IA;LAB. INF2;lunedì;08h00
50;1h00;3AT;LAB. AUTOMAZ-IMPIANTI;lunedì;08h00
51;1h00;3AT;LAB. AUTOMAZ-IMPIANTI;lunedì;08h55
52;1h00;2LS;PAL COM1;lunedì;08h00
53;1h00;2LS;PAL COM1;lunedì;08h55
54;1h00;3AS;PAL.COM2;lunedì;08h00
55;1h00;3AS;PAL.COM2;lunedì;08h55
56;1h00;5LS;PALESTRA1;lunedì;08h00
57;1h00;5LS;PALESTRA1;lunedì;08h55
58;1h00;5DS;PALESTRA2;lunedì;08h00
59;1h00;5DS;PALESTRA2;lunedì;08h55
60;1h00;1A;AULA 02;lunedì;08h55
61;1h00;1E;AULA 11;lunedì;08h55
62;1h00;1B;AULA 03;lunedì;08h55
63;1h00;1D;AULA 10A;lunedì;08h55
64;1h00;1AS;AULA 30;lunedì;08h55
65;1h00;1LS;AULA 31;lunedì;08h55
66;1h00;2AS;AULA 24;lunedì;08h55
67;1h00;2C;AULA 07;lunedì;08h55
68;1h00;2C;AULA 07;lunedì;10h00
69;1h00;2D;AULA 08;lunedì;08h55
70;1h00;2E;AULA 09;lunedì;08h55
71;1h00;2F;AULA 09A;lunedì;08h55
72;1h00;3AM;AULA 26;lunedì;08h55
73;1h00;3BM;LAB. SISTEMI-AUTOMAZ;lunedì;08h55
74;1h00;3LS;AULA 23;lunedì;08h55
75;1h00;4IA;AULA 18;lunedì;08h55
76;1h00;4IB;AULA DISEGNO 1;lunedì;08h55
77;1h00;4AM;AULA 20;lunedì;08h55
78;1h00;4BM;AULA 13;lunedì;08h55
79;1h00;4AS;AULA 19;lunedì;08h55
80;1h00;4BS;AULA 17;lunedì;08h55
81;1h00;4BS;AULA 17;lunedì;10h00
82;1h00;4LS;AULA 22;lunedì;08h55
83;1h00;5IA;BIBLIOTECA;lunedì;08h55
84;1h00;5BS;AULA 27;lunedì;08h55
85;1h00;5CS;AULA DISEGNO 2;lunedì;08h55
86;1h00;3AU;AULA 21;lunedì;08h55
87;1h00;4AT;AULA 29;lunedì;08h55
88;1h00;4IC;AULA 14;lunedì;08h55
89;1h00;1C;LAB. CAD2;lunedì;08h55
90;1h00;5AS;LAB. BIOLOGIA ;lunedì;08h55
91;1h00;2B;AULA 06;lunedì;08h55
92;1h00;3IA;LAB. INF2;lunedì;08h55
93;1h00;3IB;LAB. ELETTRONICA2;lunedì;08h55
94;1h00;1E;AULA 11;lunedì;10h00
95;1h00;1D;AULA 10A;lunedì;10h00
96;1h00;1B;AULA 03;lunedì;10h00
97;1h00;1C;AULA 04;lunedì;10h00
98;1h00;1A;AULA 02;lunedì;10h00
99;1h00;1LS;AULA 31;lunedì;10h00
100;1h00;2AS;AULA 24;lunedì;10h00
101;1h00;2BS;LAB. MECCANICA;lunedì;10h00
102;1h00;2B;AULA 06;lunedì;10h00
103;1h00;2D;AULA 08;lunedì;10h00
104;1h00;2F;AULA 09A;lunedì;10h00
105;1h00;2F;AULA 09A;lunedì;10h55
106;1h00;2LS;BIBLIOTECA;lunedì;10h00
107;1h00;3IA;AULA 01;lunedì;10h00
108;1h00;3AU;AULA 21;lunedì;10h00
109;1h00;3AS;AULA 13;lunedì;10h00
110;1h00;3AS;AULA 13;lunedì;10h55
111;1h00;3BS;AULA 25;lunedì;10h00
112;1h00;3LS;AULA 23;lunedì;10h00
113;1h00;4IA;AULA 18;lunedì;10h00
114;1h00;4IB;AULA DISEGNO 1;lunedì;10h00
115;1h00;4AM;AULA 14;lunedì;10h00
116;1h00;4AM;AULA 14;lunedì;10h55
117;1h00;4BM;AULA 20;lunedì;10h00
118;1h00;4AS;AULA 19;lunedì;10h00
119;1h00;4LS;AULA 22;lunedì;10h00
120;1h00;5BM;AULA 05;lunedì;10h00
121;1h00;5AS;LAB. BIOLOGIA ;lunedì;10h00
122;1h00;5BS;AULA 27;lunedì;10h00
123;1h00;5CS;AULA DISEGNO 2;lunedì;10h00
124;1h00;5LS;AULA 26;lunedì;10h00
125;1h00;3AM;LAB. CAD2;lunedì;10h00
126;1h00;3AM;LAB. CAD2;lunedì;10h55
127;1h00;5AM;LAB. SISTEMI-AUTOMAZ;lunedì;10h00
128;1h00;5AM;LAB. SISTEMI-AUTOMAZ;lunedì;10h55
129;1h00;2E;LAB. CAD1;lunedì;10h00
130;1h00;4CS;LAB. FISICA;lunedì;10h00
131;1h00;5DS;LAB. CHIMICA ;lunedì;10h00
132;1h00;3IB;AULA 29;lunedì;10h00
133;1h00;3AT;LAB. ROBOTICA;lunedì;10h00
134;1h00;5IA;LAB. INF2;lunedì;10h00
135;1h00;5IA;LAB. INF2;lunedì;10h55
136;1h00;4AU;LAB. ELETTR-MISURE;lunedì;10h00
